iter	RMSE
0	74001.35509
1	68988.36127
2	64154.38223
3	60257.32801
4	56969.18056
5	53855.37487
6	50862.76501
7	48311.69358
8	45953.74833
9	43611.86213
10	41520.41067
11	39683.44463
12	38140.97955
13	36679.99511
14	35407.55563
15	34180.79656
16	32986.06882
17	31879.67201
18	30885.48896
19	29962.13284
20	29220.84554
21	28325.42753
22	27701.92139
23	26940.95314
24	26346.16152
25	25887.46431
26	25309.81518
27	24734.19446
28	24269.36363
29	23783.73741
30	23412.7198
31	23114.01673
32	22880.28854
33	22542.35049
34	22269.29721
35	21956.5766
36	21681.0449
37	21429.73337
38	21189.22298
39	20999.06335
40	20806.1228
41	20563.35394
42	20341.27498
43	20191.1701
44	20092.59347
45	19887.46176
46	19691.22323
47	19535.20376
48	19420.07316
49	19247.23095
50	19079.80024
51	18904.57405
52	18720.5017
53	18541.46752
54	18425.65365
55	18316.24089
56	18180.48646
57	18106.60639
58	18036.55491
59	17944.02498
60	17873.27065
61	17793.41445
62	17704.91155
63	17529.31181
64	17458.31859
65	17375.62257
66	17270.96805
67	17208.59394
68	17076.06659
69	16911.35884
70	16775.29129
71	16670.5511
72	16609.77404
73	16535.90427
74	16412.16157
75	16341.72917
76	16245.03748
77	16164.14686
78	16090.69219
79	15985.11707
80	15891.95897
81	15802.24572
82	15747.99524
83	15692.13469
84	15549.34123
85	15474.28576
86	15407.27787
87	15334.92769
88	15177.12666
89	15112.36708
90	15004.51746
91	14940.73468
92	14862.87436
93	14798.98591
94	14707.24265
95	14610.88757
96	14553.8601
97	14507.53626
98	14445.27374
99	14371.68706
100	14309.28103
101	14204.3584
102	14072.53311
103	14025.16811
104	13976.57396
105	13885.94504
106	13793.06987
107	13691.82969
108	13625.75585
109	13549.45361
110	13476.99176
111	13385.09894
112	13316.78799
113	13246.95539
114	13207.07502
115	13156.88581
116	13131.82183
117	13073.99364
118	12997.03981
119	12936.66737
120	12863.69027
121	12806.54656
122	12740.43356
123	12679.30266
124	12620.84928
125	12589.32219
126	12539.27056
127	12497.81846
128	12449.53465
129	12388.36035
130	12328.50479
131	12298.24403
132	12262.96261
133	12202.24704
134	12168.58221
135	12104.42833
136	12023.93987
137	11969.00171
138	11918.01935
139	11857.03732
140	11798.12621
141	11757.40739
142	11684.93172
143	11654.85473
144	11614.34532
145	11554.54665
146	11499.89083
147	11433.64738
148	11391.54946
149	11323.50709
150	11272.71531
151	11210.26531
152	11168.59335
153	11128.44151
154	11116.57533
155	11053.58618
156	10991.44476
157	10948.07375
158	10908.21901
159	10846.13317
160	10811.24472
161	10755.86732
162	10718.23569
163	10670.83314
164	10630.6725
165	10598.25372
166	10524.57566
167	10476.36559
168	10434.51535
169	10409.26017
170	10379.84024
171	10333.02942
172	10281.45255
173	10253.14403
174	10225.88655
175	10175.78877
176	10130.38568
177	10081.1451
178	10057.51038
179	10044.89799
180	10010.2717
181	9981.168432
182	9947.702034
183	9926.534513
184	9890.518873
185	9825.938788
186	9801.805282
187	9753.845788
188	9730.554793
189	9692.750928
190	9659.995368
191	9599.479579
192	9562.619424
193	9522.423145
194	9472.278414
195	9436.18977
196	9399.745525
197	9368.618077
198	9347.160669
199	9308.71718
200	9265.739375
201	9235.779502
202	9219.352881
203	9188.980501
204	9153.243184
205	9104.210186
206	9080.701863
207	9034.69865
208	9003.969761
209	8979.996372
210	8932.210974
211	8908.275468
212	8884.555325
213	8866.24741
214	8832.690205
215	8811.068385
216	8750.591514
217	8738.999025
218	8726.81574
219	8712.26601
220	8671.845884
221	8643.417604
222	8631.949826
223	8594.455191
224	8564.185787
225	8535.795478
226	8519.325251
227	8497.175474
228	8455.764951
229	8415.315741
230	8389.252235
231	8362.159191
232	8306.658935
233	8288.010029
234	8275.2159
235	8242.329755
236	8210.822726
237	8182.704986
238	8147.815542
239	8129.270886
240	8111.9624
241	8080.312639
242	8068.477343
243	8044.374969
244	8023.563183
245	7985.096819
246	7966.908261
247	7937.50148
248	7911.373756
249	7888.479081
250	7867.94771
251	7851.101894
252	7818.52188
253	7800.145187
254	7772.067402
255	7750.26845
256	7736.561146
257	7687.317759
258	7680.627289
259	7669.299547
260	7645.92427
261	7618.623712
262	7599.066408
263	7556.876411
264	7529.388647
265	7514.296232
266	7478.273549
267	7466.012177
268	7440.448344
269	7416.531829
270	7401.180062
271	7371.843009
272	7350.33059
273	7326.233289
274	7303.46978
275	7289.600097
276	7266.642795
277	7237.298302
278	7223.210708
279	7212.718939
280	7181.150794
281	7167.977891
282	7144.956007
283	7123.379989
284	7097.027555
285	7080.469604
286	7059.206842
287	7022.191586
288	7002.373919
289	6991.955244
290	6955.624892
291	6924.015854
292	6891.646597
293	6873.847632
294	6845.892757
295	6822.86934
296	6805.412793
297	6773.59909
298	6760.80254
299	6746.463209
300	6720.714467
301	6688.038636
302	6669.339864
303	6649.404345
304	6629.162389
305	6612.647208
306	6588.933154
307	6577.748023
308	6555.840989
309	6533.354356
310	6507.214008
311	6481.469015
312	6467.629134
313	6445.490523
314	6431.704295
315	6404.765864
316	6379.585972
317	6355.620746
318	6337.071865
319	6318.599213
320	6293.114376
321	6267.862489
322	6257.605278
323	6237.834115
324	6207.334774
325	6202.99016
326	6186.79738
327	6166.314273
328	6144.144498
329	6128.722307
330	6119.784715
331	6105.378976
332	6071.133383
333	6048.181466
334	6025.254829
335	6017.548542
336	6001.967672
337	5974.695008
338	5963.511016
339	5945.786646
340	5934.655478
341	5917.256099
342	5889.096248
343	5863.836169
344	5851.826431
345	5817.675456
346	5809.069635
347	5793.909589
348	5772.506974
349	5755.136951
350	5737.853723
351	5705.800645
352	5683.978917
353	5669.959459
354	5655.707242
355	5635.438269
356	5619.015851
357	5595.393916
358	5578.218322
359	5556.347449
360	5531.448591
361	5521.001854
362	5508.398515
363	5499.380924
364	5476.393726
365	5459.607439
366	5440.547557
367	5423.693838
368	5412.788227
369	5385.537442
370	5368.347295
371	5360.00197
372	5342.554553
373	5318.043558
374	5296.758596
375	5275.005668
376	5244.262776
377	5233.769597
378	5216.575414
379	5196.557211
380	5176.103128
381	5163.781501
382	5148.712165
383	5127.519791
384	5093.817704
385	5089.041185
386	5068.222501
387	5039.249131
388	5032.664542
389	5015.074217
390	4988.825915
391	4969.489759
392	4952.862456
393	4939.20174
394	4921.061479
395	4901.254444
396	4892.362819
397	4877.90452
398	4867.410035
399	4861.636991
400	4846.039148
401	4836.657806
402	4817.302409
403	4804.448954
404	4793.266236
405	4778.391882
406	4764.835245
407	4753.371677
408	4726.954882
409	4717.649577
410	4698.898083
411	4688.765203
412	4672.512507
413	4651.011393
414	4636.967175
415	4620.442045
416	4613.211345
417	4600.984532
418	4591.146957
419	4581.495884
420	4571.839793
421	4552.760443
422	4540.838436
423	4526.014105
424	4516.230526
425	4507.098162
426	4493.96734
427	4475.637381
428	4459.020361
429	4448.064717
430	4437.889451
431	4421.34881
432	4408.951171
433	4396.770008
434	4392.391725
435	4379.882024
436	4359.664993
437	4342.400598
438	4336.274078
439	4329.788113
440	4315.022299
441	4305.321044
442	4294.886278
443	4280.456051
444	4267.994525
445	4258.969099
446	4247.088502
447	4229.455422
448	4215.688254
449	4210.726165
450	4201.566685
451	4187.194012
452	4166.405789
453	4161.148793
454	4143.161082
455	4124.14761
456	4101.995576
457	4090.613718
458	4074.136463
459	4055.605499
460	4048.118933
461	4041.529235
462	4025.581032
463	4016.287752
464	4010.828843
465	4004.227324
466	3994.852029
467	3987.898698
468	3975.974616
469	3967.853202
470	3955.197673
471	3940.77975
472	3929.05836
473	3919.10251
474	3908.68984
475	3899.232626
476	3893.23657
477	3883.485174
478	3868.620213
479	3856.469445
480	3839.8279
481	3826.223648
482	3818.885077
483	3805.423638
484	3800.756222
485	3794.76906
486	3780.336108
487	3770.694413
488	3764.803061
489	3756.478808
490	3745.960968
491	3742.005494
492	3730.177981
493	3727.167667
494	3720.053634
495	3700.213288
496	3685.260178
497	3677.351839
498	3663.20768
499	3649.256976
500	3632.346343
501	3622.818191
502	3613.137713
503	3608.554046
504	3592.397484
505	3581.074916
506	3575.48017
507	3560.689705
508	3547.936842
509	3541.982705
510	3527.766891
511	3513.273913
512	3498.112495
513	3491.620425
514	3481.779863
515	3476.357074
516	3462.911841
517	3455.436696
518	3452.425178
519	3447.486905
520	3426.702774
521	3411.646386
522	3402.719892
523	3389.429795
524	3382.800958
525	3370.44749
526	3364.936414
527	3351.72514
528	3344.984587
529	3337.220203
530	3327.873891
531	3318.481105
532	3312.032943
533	3300.151463
534	3291.165835
535	3280.769205
536	3270.056012
537	3264.003535
538	3258.452264
539	3255.067727
540	3250.835393
541	3243.039832
542	3232.418128
543	3217.631603
544	3214.091446
545	3204.715565
546	3197.683805
547	3189.835999
548	3178.999592
549	3165.639402
550	3158.229455
551	3149.958137
552	3140.147789
553	3129.014281
554	3123.106312
555	3116.112082
556	3110.629182
557	3104.706991
558	3093.97909
559	3079.073427
560	3067.800761
561	3054.815269
562	3041.96831
563	3039.797006
564	3031.603725
565	3028.399643
566	3018.427642
567	3007.686087
568	2997.057169
569	2986.957657
570	2982.002631
571	2973.5442
572	2966.428801
573	2961.817965
574	2954.843439
575	2948.251334
576	2941.708263
577	2936.468382
578	2932.762672
579	2919.207653
580	2905.328676
581	2895.356351
582	2880.302342
583	2869.800604
584	2861.534984
585	2852.999927
586	2842.730078
587	2835.068731
588	2819.135666
589	2810.77082
590	2800.326157
591	2792.129648
592	2788.418338
593	2783.647957
594	2778.894264
595	2773.177341
596	2763.607472
597	2754.603295
598	2742.153547
599	2738.290834
600	2728.042555
601	2718.892875
602	2715.346104
603	2711.138699
604	2704.787245
605	2698.527782
606	2689.127697
607	2683.941919
608	2675.928386
609	2670.891757
610	2666.090171
611	2659.393302
612	2655.410815
613	2648.919818
614	2643.119758
615	2640.63723
616	2631.70993
617	2628.744256
618	2624.9244
619	2618.685031
620	2611.770811
621	2602.71952
622	2596.651953
623	2593.767699
624	2591.876086
625	2584.88935
626	2578.626664
627	2573.47731
628	2564.190042
629	2551.292606
630	2545.828779
631	2543.011794
632	2537.011325
633	2529.809549
634	2521.539354
635	2516.921444
636	2508.086128
637	2501.140157
638	2493.020351
639	2486.850216
640	2482.836259
641	2478.467411
642	2471.597985
643	2467.696038
644	2463.085011
645	2455.211056
646	2449.648388
647	2444.289585
648	2441.338368
649	2430.173903
650	2418.346127
651	2408.073172
652	2400.58689
653	2394.025353
654	2390.700525
655	2388.48819
656	2381.740448
657	2373.152666
658	2371.710807
659	2364.179066
660	2355.720401
661	2349.105545
662	2346.404662
663	2341.082646
664	2331.178611
665	2325.705499
666	2319.079823
667	2309.035106
668	2307.248827
669	2300.771525
670	2295.598165
671	2291.054441
672	2286.710221
673	2277.232794
674	2271.702471
675	2265.764762
676	2262.040019
677	2256.035083
678	2249.734878
679	2244.186864
680	2236.534699
681	2228.131065
682	2220.203559
683	2214.800607
684	2208.15143
685	2200.073929
686	2191.055988
687	2188.339064
688	2183.767959
689	2177.802766
690	2174.70431
691	2168.885652
692	2162.484636
693	2157.705496
694	2150.698214
695	2144.407963
696	2137.911632
697	2133.168955
698	2126.431049
699	2118.809038
