iter	Passed	Remaining
0	3	2372
1	6	2124
2	8	1899
3	10	1829
4	12	1764
5	15	1766
6	17	1757
7	20	1759
8	22	1748
9	24	1718
10	27	1693
11	29	1684
12	31	1676
13	33	1665
14	36	1659
15	38	1661
16	40	1644
17	42	1626
18	45	1619
19	47	1604
20	49	1596
21	51	1596
22	54	1593
23	56	1588
24	58	1581
25	61	1584
26	63	1581
27	66	1599
28	69	1609
29	72	1608
30	74	1606
31	77	1608
32	80	1629
33	82	1622
34	85	1623
35	87	1619
36	89	1606
37	92	1605
38	94	1601
39	96	1597
40	99	1593
41	101	1586
42	103	1582
43	105	1570
44	107	1564
45	110	1568
46	112	1567
47	115	1572
48	117	1563
49	119	1559
50	122	1555
51	124	1550
52	126	1548
53	128	1541
54	131	1541
55	133	1535
56	135	1530
57	138	1529
58	140	1529
59	143	1528
60	145	1523
61	147	1517
62	150	1517
63	151	1509
64	154	1508
65	157	1509
66	159	1504
67	161	1501
68	163	1496
69	166	1502
70	170	1511
71	173	1513
72	175	1509
73	178	1506
74	180	1506
75	183	1509
76	186	1509
77	188	1507
78	191	1503
79	193	1500
80	196	1503
81	198	1499
82	200	1494
83	203	1491
84	205	1487
85	208	1486
86	210	1486
87	213	1483
88	216	1483
89	218	1483
90	221	1480
91	224	1482
92	227	1482
93	229	1480
94	232	1479
95	235	1479
96	237	1475
97	239	1473
98	242	1470
99	244	1465
100	246	1461
101	248	1457
102	250	1452
103	253	1450
104	255	1446
105	257	1444
106	259	1439
107	262	1438
108	264	1433
109	266	1431
110	269	1430
111	271	1427
112	274	1424
113	276	1419
114	278	1416
115	281	1414
116	283	1412
117	285	1408
118	287	1404
119	290	1402
120	292	1399
121	294	1394
122	313	1468
123	315	1466
124	318	1464
125	320	1460
126	322	1456
127	325	1453
128	329	1456
129	331	1452
130	333	1449
131	335	1444
132	337	1440
133	340	1438
134	342	1433
135	344	1430
136	347	1426
137	349	1421
138	351	1418
139	353	1413
140	356	1411
141	358	1408
142	360	1405
143	363	1402
144	365	1399
145	368	1396
146	370	1393
147	373	1392
148	375	1390
149	378	1388
150	380	1384
151	383	1381
152	385	1379
153	388	1377
154	391	1375
155	393	1371
156	395	1368
157	398	1366
158	400	1362
159	403	1360
160	405	1356
161	407	1353
162	409	1350
163	411	1346
164	414	1345
165	417	1342
166	421	1344
167	423	1341
168	426	1340
169	429	1340
170	432	1336
171	434	1333
172	436	1330
173	438	1326
174	441	1323
175	443	1320
176	445	1317
177	448	1315
178	450	1312
179	453	1309
180	455	1307
181	458	1304
182	460	1301
183	462	1298
184	465	1296
185	468	1295
186	471	1293
187	474	1291
188	476	1289
189	479	1286
190	481	1283
191	484	1280
192	486	1278
193	489	1275
194	491	1272
195	493	1268
196	496	1266
197	498	1263
198	500	1260
199	502	1257
200	505	1253
201	507	1250
202	509	1247
203	511	1244
204	515	1244
205	517	1241
206	520	1239
207	522	1236
208	524	1232
209	526	1229
210	529	1227
211	532	1225
212	534	1222
213	536	1219
214	539	1215
215	541	1212
216	543	1210
217	545	1207
218	548	1203
219	550	1200
220	552	1198
221	555	1195
222	557	1191
223	559	1188
224	562	1186
225	563	1182
226	566	1179
227	568	1176
228	570	1173
229	572	1170
230	575	1167
231	577	1164
232	579	1161
233	581	1158
234	584	1155
235	586	1153
236	589	1152
237	592	1149
238	594	1146
239	596	1143
240	599	1141
241	601	1139
242	604	1136
243	607	1135
244	610	1133
245	612	1130
246	615	1128
247	617	1126
248	620	1123
249	622	1120
250	624	1117
251	627	1114
252	629	1112
253	632	1109
254	633	1106
255	636	1103
256	638	1101
257	640	1097
258	642	1094
259	645	1091
260	647	1089
261	649	1085
262	651	1082
263	654	1080
264	656	1077
265	659	1075
266	662	1073
267	664	1071
268	667	1069
269	670	1067
270	672	1064
271	675	1062
272	677	1060
273	679	1056
274	682	1054
275	684	1051
276	686	1048
277	689	1046
278	691	1043
279	693	1040
280	696	1038
281	699	1036
282	701	1034
283	705	1032
284	707	1030
285	710	1028
286	712	1025
287	714	1022
288	717	1020
289	720	1018
290	722	1015
291	725	1013
292	728	1011
293	730	1008
294	732	1006
295	734	1002
296	737	1000
297	739	997
298	741	994
299	743	991
300	745	988
301	748	986
302	750	982
303	752	980
304	754	977
305	757	974
306	759	972
307	762	970
308	765	968
309	768	966
310	770	963
311	772	960
312	776	959
313	778	957
314	780	954
315	783	952
316	786	949
317	788	946
318	791	945
319	794	943
320	797	941
321	799	938
322	802	936
323	805	935
324	808	932
325	810	929
326	813	927
327	816	925
328	818	923
329	822	921
330	824	919
331	827	917
332	831	916
333	834	914
334	837	912
335	840	910
336	843	908
337	846	906
338	849	904
339	851	902
340	854	899
341	856	896
342	860	895
343	876	907
344	879	904
345	881	902
346	884	900
347	887	897
348	891	896
349	894	894
350	897	892
351	900	890
352	903	887
353	906	885
354	908	883
355	912	881
356	915	879
357	919	878
358	921	875
359	924	873
360	927	870
361	930	868
362	934	867
363	937	865
364	940	863
365	942	860
366	945	857
367	948	855
368	951	853
369	954	851
370	957	848
371	960	846
372	963	845
373	966	842
374	969	839
375	972	837
376	975	835
377	978	833
378	980	830
379	983	828
380	986	825
381	989	823
382	992	821
383	994	818
384	998	816
385	1000	814
386	1003	811
387	1006	809
388	1010	807
389	1013	805
390	1016	803
391	1019	801
392	1023	799
393	1026	797
394	1030	795
395	1034	794
396	1037	791
397	1039	788
398	1041	786
399	1044	783
400	1047	781
401	1050	778
402	1053	776
403	1055	773
404	1058	770
405	1061	768
406	1064	766
407	1066	763
408	1069	760
409	1071	758
410	1074	755
411	1076	752
412	1079	749
413	1081	747
414	1083	744
415	1086	741
416	1089	739
417	1091	736
418	1094	734
419	1096	731
420	1098	728
421	1101	725
422	1103	722
423	1105	719
424	1108	717
425	1111	714
426	1113	711
427	1115	708
428	1118	706
429	1120	703
430	1122	700
431	1124	697
432	1127	695
433	1130	692
434	1133	690
435	1135	687
436	1138	685
437	1141	682
438	1143	679
439	1146	677
440	1149	674
441	1151	672
442	1154	669
443	1156	666
444	1158	664
445	1161	661
446	1163	658
447	1166	656
448	1169	653
449	1171	650
450	1174	648
451	1177	646
452	1180	643
453	1182	640
454	1185	638
455	1187	635
456	1189	632
457	1193	630
458	1195	627
459	1199	625
460	1201	623
461	1204	620
462	1208	618
463	1211	616
464	1213	613
465	1216	610
466	1219	608
467	1222	605
468	1224	603
469	1227	600
470	1229	597
471	1232	595
472	1235	592
473	1237	590
474	1240	587
475	1242	584
476	1244	581
477	1247	579
478	1249	576
479	1252	573
480	1254	571
481	1257	568
482	1259	566
483	1262	563
484	1265	561
485	1267	558
486	1269	555
487	1272	552
488	1274	549
489	1277	547
490	1279	544
491	1281	541
492	1283	539
493	1286	536
494	1288	533
495	1290	530
496	1292	528
497	1295	525
498	1297	522
499	1300	520
500	1302	517
501	1306	515
502	1309	512
503	1312	510
504	1315	507
505	1318	505
506	1320	502
507	1324	500
508	1326	497
509	1328	495
510	1331	492
511	1333	489
512	1337	487
513	1352	489
514	1356	487
515	1359	484
516	1361	481
517	1364	479
518	1368	477
519	1371	474
520	1374	472
521	1376	469
522	1379	466
523	1382	464
524	1385	461
525	1388	459
526	1391	456
527	1394	454
528	1396	451
529	1399	448
530	1401	446
531	1403	443
532	1406	440
533	1408	437
534	1411	435
535	1413	432
536	1415	429
537	1418	427
538	1420	424
539	1423	421
540	1425	419
541	1428	416
542	1430	413
543	1432	410
544	1435	408
545	1437	405
546	1439	402
547	1442	400
548	1444	397
549	1446	394
550	1449	391
551	1452	389
552	1455	386
553	1457	384
554	1460	381
555	1463	378
556	1466	376
557	1468	373
558	1471	371
559	1474	368
560	1476	365
561	1480	363
562	1483	360
563	1485	358
564	1488	355
565	1491	353
566	1494	350
567	1497	347
568	1500	345
569	1502	342
570	1505	340
571	1508	337
572	1511	335
573	1514	332
574	1516	329
575	1519	327
576	1521	324
577	1523	321
578	1526	319
579	1528	316
580	1530	313
581	1533	310
582	1535	308
583	1538	305
584	1540	302
585	1542	300
586	1546	297
587	1549	295
588	1552	292
589	1555	289
590	1557	287
591	1560	284
592	1563	282
593	1566	279
594	1569	276
595	1571	274
596	1573	271
597	1576	268
598	1578	266
599	1581	263
600	1585	261
601	1590	258
602	1596	256
603	1600	254
604	1606	252
605	1613	250
606	1618	248
607	1624	245
608	1628	243
609	1632	240
610	1634	238
611	1636	235
612	1640	232
613	1642	230
614	1645	227
615	1648	224
616	1651	222
617	1656	219
618	1660	217
619	1664	214
620	1666	212
621	1669	209
622	1671	206
623	1674	203
624	1677	201
625	1679	198
626	1682	195
627	1684	193
628	1687	190
629	1689	187
630	1691	184
631	1694	182
632	1696	179
633	1699	176
634	1701	174
635	1703	171
636	1705	168
637	1707	165
638	1709	163
639	1712	160
640	1714	157
641	1716	155
642	1718	152
643	1721	149
644	1723	146
645	1725	144
646	1727	141
647	1730	138
648	1732	136
649	1734	133
650	1737	130
651	1739	128
652	1741	125
653	1744	122
654	1746	119
655	1748	117
656	1751	114
657	1753	111
658	1756	109
659	1758	106
660	1761	103
661	1763	101
662	1765	98
663	1767	95
664	1770	93
665	1773	90
666	1775	87
667	1778	85
668	1781	82
669	1783	79
670	1786	77
671	1788	74
672	1791	71
673	1793	69
674	1796	66
675	1799	63
676	1801	61
677	1804	58
678	1807	55
679	1809	53
680	1812	50
